,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_x,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DELAY_OR_NOT,AIRPORT_x,CITY_x,STATE_x,LATITUDE_x,LONGITUDE_x,AIRPORT_y,CITY_y,STATE_y,LATITUDE_y,LONGITUDE_y,Percentage Delayed,Departure Delay Mean,Arrival Delay Mean,DATE
4407991,2015,5,28,4,OO,Skywest Airlines Inc.,4528,N554CA,PIT,MSP,18:55:00,19:06:00,11.0,19.0,19:25:00,127.0,126.0,104.0,726,20:09:00,3.0,20:02:00,20:12:00,10.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,Pittsburgh International Airport,Pittsburgh,PA,40.49147,-80.23287,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692,28.161539099427813,29.553003533568905,32.7670789163722,2015-05-28
3390484,2015,4,4,6,US,US Airways Inc.,1974,N757UW,FLL,DCA,18:35:00,18:28:00,-7.0,16.0,18:44:00,152.0,143.0,115.0,899,20:39:00,12.0,21:07:00,20:51:00,-16.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,33.64663696620667,35.856935249475214,36.71108509607622,2015-04-04
1614374,2015,2,3,2,UA,United Air Lines Inc.,604,N482UA,ORD,IAH,12:00:00,12:52:00,52.0,18.0,13:10:00,175.0,157.0,135.0,925,15:25:00,4.0,14:55:00,15:29:00,34.0,0,0,,0.0,0.0,0.0,0.0,34.0,True,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,39.62481286116047,37.05203873553376,39.5671030446412,2015-02-03
3135685,2015,2,27,5,DL,Delta Air Lines Inc.,1475,N968AT,ATL,SAV,16:20:00,18:01:00,101.0,18.0,18:19:00,65.0,60.0,37.0,214,18:56:00,5.0,17:25:00,19:01:00,96.0,0,0,,0.0,0.0,96.0,0.0,0.0,True,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,Savannah/Hilton Head International Airport,Savannah,GA,32.12758,-81.20214,33.119976011717355,30.210617034612437,31.051239640643498,2015-02-27
1706710,2015,1,21,3,UA,United Air Lines Inc.,1041,N12216,ORD,CLE,18:13:00,18:36:00,23.0,16.0,18:52:00,80.0,75.0,52.0,315,20:44:00,7.0,20:33:00,20:51:00,18.0,0,0,,0.0,0.0,18.0,0.0,0.0,True,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,Cleveland Hopkins International Airport,Cleveland,OH,41.41089,-81.8494,39.62481286116047,37.05203873553376,39.5671030446412,2015-01-21
4547509,2015,1,30,5,OO,Skywest Airlines Inc.,5316,N593ML,MRY,LAX,06:00:00,05:59:00,-1.0,9.0,06:08:00,71.0,60.0,44.0,266,06:52:00,7.0,07:11:00,06:59:00,-12.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,36.58698,-121.84295,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,34.83523873570948,30.57915057915058,36.24324324324324,2015-01-30
1462806,2015,11,19,4,UA,United Air Lines Inc.,669,N472UA,SMF,DEN,15:49:00,15:57:00,8.0,11.0,16:08:00,141.0,121.0,104.0,909,18:52:00,6.0,19:10:00,18:58:00,-12.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077,Denver International Airport,Denver,CO,39.85841,-104.667,39.363646135655166,24.399508465319496,26.66500546149645,2015-11-19
2755149,2015,2,20,5,UA,United Air Lines Inc.,1602,N54711,IAH,DEN,05:40:00,06:10:00,30.0,12.0,06:22:00,158.0,168.0,147.0,862,07:49:00,9.0,07:18:00,07:58:00,40.0,0,0,,10.0,0.0,30.0,0.0,0.0,True,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,Denver International Airport,Denver,CO,39.85841,-104.667,40.8015168255787,30.773569136132657,32.97609654987965,2015-02-20
5317099,2015,7,9,4,EV,Atlantic Southeast Airlines,4715,N15527,HOB,IAH,06:31:00,06:28:00,-3.0,6.0,06:34:00,104.0,86.0,71.0,501,08:45:00,9.0,09:15:00,08:54:00,-21.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Lea County Regional Airport,Hobbs,NM,32.68753,-103.21703,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,25.74430823117338,39.68707482993197,47.16326530612245,2015-07-09
2949620,2015,5,22,5,DL,Delta Air Lines Inc.,2172,N690DL,ATL,TPA,14:25:00,14:32:00,7.0,13.0,14:45:00,87.0,75.0,59.0,406,15:44:00,3.0,15:52:00,15:47:00,-5.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,Tampa International Airport,Tampa,FL,27.97547,-82.53325,33.119976011717355,30.210617034612437,31.051239640643498,2015-05-22
5203053,2015,3,10,2,EV,Atlantic Southeast Airlines,2563,N879AS,CRP,DFW,09:25:00,09:46:00,21.0,12.0,09:58:00,80.0,77.0,58.0,354,10:56:00,7.0,10:45:00,11:03:00,18.0,0,0,,0.0,0.0,0.0,18.0,0.0,True,Corpus Christi International Airport,Corpus Christi,TX,27.77036,-97.50122,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,34.43126022913257,31.711229946524064,36.076054664289956,2015-03-10
1549507,2015,2,23,1,US,US Airways Inc.,2167,,DCA,LGA,18:00:00,,,,,82.0,,,214,,,19:22:00,,,0,1,A,0.0,0.0,0.0,0.0,0.0,False,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,LaGuardia Airport (Marine Air Terminal),New York,NY,40.77724,-73.87261,32.96609480445565,29.93237966045957,36.55917293542155,2015-02-23
2192446,2015,5,18,1,DL,Delta Air Lines Inc.,2115,N326NB,ABQ,MSP,14:30:00,14:41:00,11.0,9.0,14:50:00,155.0,132.0,119.0,981,17:49:00,4.0,18:05:00,17:53:00,-12.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60919,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692,36.29116298457691,29.739842067480257,31.850825556353193,2015-05-18
2320071,2015,7,15,3,DL,Delta Air Lines Inc.,1548,N364NB,DTW,LGA,11:58:00,12:25:00,27.0,17.0,12:42:00,111.0,104.0,76.0,502,13:58:00,11.0,13:49:00,14:09:00,20.0,0,0,,20.0,0.0,0.0,0.0,0.0,True,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,LaGuardia Airport (Marine Air Terminal),New York,NY,40.77724,-73.87261,33.438709677419354,31.526032909787492,35.202447562084835,2015-07-15
361052,2015,1,18,7,WN,Southwest Airlines Co.,961,N749SW,PHX,BWI,17:55:00,17:53:00,-2.0,12.0,18:05:00,250.0,255.0,238.0,1999,00:03:00,5.0,00:05:00,00:08:00,3.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,39.69076729217042,24.887578940142777,26.8585255354201,2015-01-18
4188696,2015,3,10,2,DL,Delta Air Lines Inc.,2410,N998AT,DAL,ATL,07:00:00,07:02:00,2.0,15.0,07:17:00,126.0,123.0,93.0,721,09:50:00,15.0,10:06:00,10:05:00,-1.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Dallas Love Field,Dallas,TX,32.84711,-96.85177,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,44.57696108812543,27.40365248759958,28.329888771982564,2015-03-10
3240418,2015,12,18,5,WN,Southwest Airlines Co.,2659,N799SW,TPA,BWI,06:30:00,06:25:00,-5.0,15.0,06:40:00,135.0,120.0,97.0,842,08:17:00,8.0,08:45:00,08:25:00,-20.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Tampa International Airport,Tampa,FL,27.97547,-82.53325,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,34.538228022407914,34.06551286698079,35.62527183762233,2015-12-18
5114219,2015,11,17,2,OO,Skywest Airlines Inc.,4724,N889AS,FWA,ATL,08:00:00,07:57:00,-3.0,21.0,08:18:00,110.0,121.0,85.0,508,09:43:00,15.0,09:50:00,09:58:00,8.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,Fort Wayne International Airport,Fort Wayne,IN,40.97847,-85.19515,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,36.15282265728949,33.87960042060988,40.39589905362776,2015-11-17
639761,2015,3,24,2,WN,Southwest Airlines Co.,4550,N468WN,OAK,SAN,20:15:00,20:17:00,2.0,8.0,20:25:00,85.0,77.0,65.0,446,21:30:00,4.0,21:40:00,21:34:00,-6.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Oakland International Airport,Oakland,CA,37.72129,-122.22072,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966,43.503639285376686,24.403281003856808,25.718507251887665,2015-03-24
3133070,2015,7,7,2,DL,Delta Air Lines Inc.,1233,N306DQ,ATL,ORF,10:30:00,10:33:00,3.0,13.0,10:46:00,99.0,88.0,72.0,516,11:58:00,3.0,12:09:00,12:01:00,-8.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,Norfolk International Airport,Norfolk,VA,36.89461,-76.20122,33.119976011717355,30.210617034612437,31.051239640643498,2015-07-07
